state,local_id,siteid,sitename,sitename_long,sitename_10,lat,lon,infra_type,road_type,dir,location_type,location_detail,orientation,count_type,mfgr,asset_owner,notes
NSW,90902MC,90902,Sydney Harbour Bridge Cycleway,,,-33.85828,151.20662,1,0,9,,,,,2,NSW Roads and Maritime Services,
NSW,90903MC,90903,ANZAC Bridge Cycleway,,,-33.86803,151.18207,2,0,9,,,,,2,NSW Roads and Maritime Services,
NSW,30011,30011,Iron Cove Bridge ,,,-33.8593,151.16273,,,,,,,,2,NSW Roads and Maritime Services,
NSW,90907,90907,Anzac Parade Cycleway,,,-33.89582,151.22185,,,,,,,,2,NSW Roads and Maritime Services,
NSW,90946,90946,"North Shore Cycleway (North Ryde to Naremburn), near Hallstrom Park",,,-33.813124,151.198736,,,,,,,,2,NSW Roads and Maritime Services,
NSW,90904,90904,"Liverpool to Parramatta Rail Trail, Broomfield Street, Cabramatta",,,-33.89126,150.94075,,,,,,,,2,NSW Roads and Maritime Services,
NSW,90905,90905,"Liverpool to Parramatta Rail Trail, Railway Terrace, Guildford",,,-33.85195,150.98634,,,,,,,,2,NSW Roads and Maritime Services,
NSW,90908,90908,"North Ryde to Sydney Olympic Park cycleway, near John Whitton Bridge, Meadowbank",,,-33.81799,151.08994,,,,,,,,2,NSW Roads and Maritime Services,
NSW,90909,90909,"Cooks River Cycleway, Marrickville South",,,-33.922285,151.144335,,,,,,,,,NSW Roads and Maritime Services,
NSW,90910,90910,"Como Bridge cycleway, near Oatley Parade, Oatley",,,-33.9874,151.07716,,,,,,,,,NSW Roads and Maritime Services,
NSW,90911,90911,"Lane Cove River Walk, near Browns Waterhole, Marsfield",,,-33.76469,151.1059,,,,,,,,,NSW Roads and Maritime Services,
NSW,90912,90912,"Crestwood Reserve cycleway, near Merindah Road, Baulkham Hills",,,-33.75367,150.96642,,,,,,,,,NSW Roads and Maritime Services,
NSW,90913,90913,"Captain Cook Bridge cycleway, near Taren Point Road, Taren Point",,,-34.01112,151.12659,,,,,,,,2,NSW Roads and Maritime Services,
NSW,90914,90914,"Western Sydney Parklands cycleway, near Darling Street, Abbotsbury",,,-33.865007,150.862975,,,,,,,,,NSW Roads and Maritime Services,
NSW,90915,90915,"M7 Cycleway, near Fairmount Circuit, Glenwood",,,-33.74561,150.9409,,,,,,,,,NSW Roads and Maritime Services,
NSW,90916,90916,"M7 Cycleway, near Sunnyholt Road, Kings Park",,,-33.73866,150.91591,,,,,,,,,NSW Roads and Maritime Services,
NSW,90917,90917,"M7 Cycleway, near Station Street, Rooty Hill",,,-33.7681,150.84619,,,,,,,,,NSW Roads and Maritime Services,
NSW,90930,90930,"Hawthorne Canal cycleway, near Haig Avenue, Haberfield",,,-33.89047,151.14487,,,,,,,,,NSW Roads and Maritime Services,
NSW,90931,90931,"Hawthorne Canal cycleway, Richard Murden Reserve, Haberfield",,,-33.88204,151.14478,,,,,,,,,NSW Roads and Maritime Services,
NSW,90932W,90932,King St Cycleway (King St & Clarence St intersection),,,-33.868678,151.205179,1,,,,,,,3,NSW Roads and Maritime Services,
NSW,90933EW,90933,King St Cycleway (King St & Kent St intersection),,,-33.868703,151.204704,1,,,,,,,3,NSW Roads and Maritime Services,
NSW,90944E,90944,King St Cycleway (King St & Sussex St intersection),,,-33.86874,151.203693,1,,,,,,,3,NSW Roads and Maritime Services,
