siteid,date,pub_hol,sch_hol,hr,nobs,state
104881,2017-01-01,1,1,1,3,Vic
104881,2017-01-01,1,1,3,1,Vic
104881,2017-01-01,1,1,6,2,Vic
104881,2017-01-01,1,1,7,2,Vic
104881,2017-01-01,1,1,8,4,Vic
104881,2017-01-01,1,1,9,5,Vic
104881,2017-01-01,1,1,10,8,Vic
104881,2017-01-01,1,1,11,2,Vic
104881,2017-01-01,1,1,12,9,Vic
104881,2017-01-01,1,1,13,6,Vic
104881,2017-01-01,1,1,14,9,Vic
104881,2017-01-01,1,1,15,6,Vic
104881,2017-01-01,1,1,16,8,Vic
104881,2017-01-01,1,1,17,4,Vic
104881,2017-01-01,1,1,18,9,Vic
104881,2017-01-01,1,1,19,3,Vic
104881,2017-01-01,1,1,20,5,Vic
104881,2017-01-01,1,1,21,1,Vic
104881,2017-01-01,1,1,22,2,Vic
104881,2017-01-01,1,1,23,1,Vic
104881,2017-01-02,1,1,3,1,Vic
104881,2017-01-02,1,1,6,4,Vic
104881,2017-01-02,1,1,7,2,Vic
104881,2017-01-02,1,1,8,6,Vic
104881,2017-01-02,1,1,9,8,Vic
104881,2017-01-02,1,1,10,12,Vic
104881,2017-01-02,1,1,11,1,Vic
104881,2017-01-02,1,1,12,2,Vic
104881,2017-01-02,1,1,13,8,Vic
104881,2017-01-02,1,1,14,8,Vic
104881,2017-01-02,1,1,15,8,Vic
104881,2017-01-02,1,1,16,6,Vic
104881,2017-01-02,1,1,17,8,Vic
104881,2017-01-02,1,1,18,2,Vic
104881,2017-01-02,1,1,19,8,Vic
104881,2017-01-02,1,1,20,5,Vic
104881,2017-01-02,1,1,21,3,Vic
104881,2017-01-02,1,1,22,1,Vic
104881,2017-01-03,NA,1,0,1,Vic
104881,2017-01-03,NA,1,1,1,Vic
104881,2017-01-03,NA,1,3,1,Vic
104881,2017-01-03,NA,1,4,1,Vic
104881,2017-01-03,NA,1,5,9,Vic
104881,2017-01-03,NA,1,6,16,Vic
104881,2017-01-03,NA,1,7,64,Vic
104881,2017-01-03,NA,1,8,77,Vic
104881,2017-01-03,NA,1,9,24,Vic
104881,2017-01-03,NA,1,10,7,Vic
104881,2017-01-03,NA,1,11,12,Vic
104881,2017-01-03,NA,1,12,9,Vic
104881,2017-01-03,NA,1,13,7,Vic
104881,2017-01-03,NA,1,14,11,Vic
104881,2017-01-03,NA,1,15,4,Vic
104881,2017-01-03,NA,1,16,9,Vic
104881,2017-01-03,NA,1,17,5,Vic
104881,2017-01-03,NA,1,18,4,Vic
104881,2017-01-03,NA,1,19,9,Vic
104881,2017-01-03,NA,1,20,4,Vic
104881,2017-01-03,NA,1,21,3,Vic
104881,2017-01-03,NA,1,22,2,Vic
104881,2017-01-03,NA,1,23,1,Vic
104881,2017-01-04,NA,1,0,3,Vic
104881,2017-01-04,NA,1,3,1,Vic
104881,2017-01-04,NA,1,4,1,Vic
104881,2017-01-04,NA,1,5,5,Vic
104881,2017-01-04,NA,1,6,13,Vic
104881,2017-01-04,NA,1,7,71,Vic
104881,2017-01-04,NA,1,8,102,Vic
104881,2017-01-04,NA,1,9,30,Vic
104881,2017-01-04,NA,1,10,12,Vic
104881,2017-01-04,NA,1,11,6,Vic
104881,2017-01-04,NA,1,12,2,Vic
104881,2017-01-04,NA,1,13,7,Vic
104881,2017-01-04,NA,1,14,6,Vic
104881,2017-01-04,NA,1,15,4,Vic
104881,2017-01-04,NA,1,16,8,Vic
104881,2017-01-04,NA,1,17,15,Vic
104881,2017-01-04,NA,1,18,8,Vic
104881,2017-01-04,NA,1,19,4,Vic
104881,2017-01-04,NA,1,20,4,Vic
104881,2017-01-04,NA,1,21,3,Vic
104881,2017-01-04,NA,1,22,1,Vic
104881,2017-01-04,NA,1,23,2,Vic
104881,2017-01-05,NA,1,0,2,Vic
104881,2017-01-05,NA,1,3,1,Vic
104881,2017-01-05,NA,1,4,1,Vic
104881,2017-01-05,NA,1,5,7,Vic
104881,2017-01-05,NA,1,6,15,Vic
104881,2017-01-05,NA,1,7,72,Vic
104881,2017-01-05,NA,1,8,80,Vic
104881,2017-01-05,NA,1,9,23,Vic
104881,2017-01-05,NA,1,10,10,Vic
104881,2017-01-05,NA,1,11,6,Vic
104881,2017-01-05,NA,1,12,6,Vic
104881,2017-01-05,NA,1,13,6,Vic
104881,2017-01-05,NA,1,14,4,Vic
104881,2017-01-05,NA,1,15,5,Vic
104881,2017-01-05,NA,1,16,6,Vic
104881,2017-01-05,NA,1,17,9,Vic
104881,2017-01-05,NA,1,18,7,Vic
104881,2017-01-05,NA,1,19,3,Vic
104881,2017-01-05,NA,1,20,3,Vic
104881,2017-01-05,NA,1,21,1,Vic
104881,2017-01-05,NA,1,22,2,Vic
104881,2017-01-05,NA,1,23,2,Vic
104881,2017-01-06,NA,1,0,2,Vic
104881,2017-01-06,NA,1,3,2,Vic
104881,2017-01-06,NA,1,4,1,Vic
104881,2017-01-06,NA,1,5,4,Vic
104881,2017-01-06,NA,1,6,14,Vic
104881,2017-01-06,NA,1,7,56,Vic
104881,2017-01-06,NA,1,8,70,Vic
104881,2017-01-06,NA,1,9,18,Vic
104881,2017-01-06,NA,1,10,5,Vic
104881,2017-01-06,NA,1,11,9,Vic
104881,2017-01-06,NA,1,12,7,Vic
104881,2017-01-06,NA,1,13,4,Vic
104881,2017-01-06,NA,1,14,6,Vic
104881,2017-01-06,NA,1,15,3,Vic
104881,2017-01-06,NA,1,16,5,Vic
104881,2017-01-06,NA,1,17,10,Vic
104881,2017-01-06,NA,1,18,9,Vic
104881,2017-01-06,NA,1,19,4,Vic
104881,2017-01-06,NA,1,20,2,Vic
104881,2017-01-06,NA,1,21,4,Vic
104881,2017-01-06,NA,1,22,2,Vic
104881,2017-01-06,NA,1,23,3,Vic
104881,2017-01-07,NA,1,0,2,Vic
104881,2017-01-07,NA,1,1,2,Vic
104881,2017-01-07,NA,1,4,2,Vic
104881,2017-01-07,NA,1,5,5,Vic
104881,2017-01-07,NA,1,6,13,Vic
104881,2017-01-07,NA,1,7,9,Vic
104881,2017-01-07,NA,1,8,12,Vic
104881,2017-01-07,NA,1,9,10,Vic
104881,2017-01-07,NA,1,10,5,Vic
104881,2017-01-07,NA,1,11,11,Vic
104881,2017-01-07,NA,1,12,1,Vic
104881,2017-01-07,NA,1,13,6,Vic
104881,2017-01-07,NA,1,14,2,Vic
104881,2017-01-07,NA,1,15,5,Vic
104881,2017-01-07,NA,1,16,6,Vic
104881,2017-01-07,NA,1,17,6,Vic
104881,2017-01-07,NA,1,18,4,Vic
104881,2017-01-07,NA,1,19,4,Vic
104881,2017-01-07,NA,1,20,3,Vic
104881,2017-01-07,NA,1,21,2,Vic
104881,2017-01-07,NA,1,22,2,Vic
104881,2017-01-07,NA,1,23,2,Vic
104881,2017-01-08,NA,1,0,1,Vic
104881,2017-01-08,NA,1,2,1,Vic
104881,2017-01-08,NA,1,3,2,Vic
104881,2017-01-08,NA,1,4,4,Vic
104881,2017-01-08,NA,1,6,8,Vic
104881,2017-01-08,NA,1,7,11,Vic
104881,2017-01-08,NA,1,8,6,Vic
104881,2017-01-08,NA,1,9,15,Vic
104881,2017-01-08,NA,1,10,13,Vic
104881,2017-01-08,NA,1,11,3,Vic
104881,2017-01-08,NA,1,12,7,Vic
104881,2017-01-08,NA,1,13,6,Vic
104881,2017-01-08,NA,1,14,10,Vic
104881,2017-01-08,NA,1,15,5,Vic
104881,2017-01-08,NA,1,16,7,Vic
104881,2017-01-08,NA,1,18,8,Vic
104881,2017-01-08,NA,1,19,1,Vic
104881,2017-01-08,NA,1,20,1,Vic
104881,2017-01-08,NA,1,21,1,Vic
